index,benchmark_id,dao,proposal_id,status,old_decoded_call_count,new_decoded_call_count,old_unknown_risk_actions,new_unknown_risk_actions,old_risk_action_count,new_risk_action_count,overall_score,risk_level,abi_fetch_targets,abi_fetch_changed_targets,error,elapsed_seconds
1,real-aave-0001,Aave,15,success,10,10,0,0,5,5,8,LOW,,,,0.116
2,real-aave-0002,Aave,7,success,2,2,0,0,1,1,2,CRITICAL,,,,0.002
3,real-aave-0003,Aave,42,success,24,24,0,0,1,1,8,LOW,,,,0.004
4,real-aave-0004,Aave,100,success,3,3,0,0,1,1,2,CRITICAL,,,,0.002
5,real-aave-0005,Aave,35,success,8,8,0,0,2,2,2,CRITICAL,,,,0.003
6,real-aave-0006,Aave,32,success,5,5,0,0,2,2,2,CRITICAL,,,,0.002
7,real-aave-0007,Aave,152,success,7,7,0,0,2,2,2,CRITICAL,,,,0.003
8,real-aave-0008,Aave,149,success,10,10,0,0,2,2,2,CRITICAL,,,,0.004
9,real-aave-0009,Aave,234,success,23,23,0,0,7,7,2,CRITICAL,,,,0.006
10,real-aave-0010,Aave,238,success,11,13,1,0,7,6,2,CRITICAL,,,,0.003
11,real-aave-0011,Aave,164,success,8,8,0,0,2,2,2,CRITICAL,,,,0.002
12,real-aave-0012,Aave,178,success,3,3,0,0,1,1,2,CRITICAL,,,,0.001
13,real-aave-0013,Aave,397,success,0,2,1,0,2,1,6,MEDIUM,,,,0.002
14,real-aave-0014,Aave,407,success,0,2,1,0,2,1,6,MEDIUM,,,,0.002
15,real-aave-0015,Aave,355,success,28,32,2,0,15,13,2,CRITICAL,,,,0.006
16,real-aave-0016,Aave,310,success,17,19,1,0,10,9,4,HIGH,,,,0.004
17,real-aave-0017,Aave,396,success,0,2,1,0,2,1,6,MEDIUM,,,,0.002
18,real-aave-0018,Aave,400,success,0,4,1,0,2,1,6,MEDIUM,,,,0.002
19,real-aave-0019,Aave,390,success,0,2,1,0,2,1,6,MEDIUM,,,,0.003
20,real-aave-0020,Aave,321,success,18,20,1,0,9,8,2,CRITICAL,,,,0.004
21,real-arbitrum-0001,Arbitrum,71941171835710778457735937894689629320431683601089057868136768380925169329077,success,0,0,0,0,0,0,8,LOW,,,,0.001
22,real-arbitrum-0002,Arbitrum,70545629960586317780628692755032548222173912190231545322320044688071893662480,success,1,1,0,0,0,0,8,LOW,,,,0.001
23,real-arbitrum-0003,Arbitrum,4339452689891418965907083940091891085726910948106830138993485564953310970308,success,4,4,0,0,4,4,8,LOW,,,,0.001
24,real-arbitrum-0004,Arbitrum,77069694702187027448745871790562515795432836429094222862498991082283032976814,success,1,1,0,0,0,0,8,LOW,,,,0.001
25,real-arbitrum-0005,Arbitrum,55434268037459750836497365958054185343730937462615166912204494229415053613423,success,2,2,0,0,2,2,8,LOW,,,,0.001
