index,benchmark_id,sample_path,proposal_id,dao,chain_id,status,simulation_status,trace_source,risk_action_count,llm_status,overall_score,risk_level,error,elapsed_seconds,trace_input,risk_actions_input,semantics_input,score_output
1,real-aave-0001,data\raw_samples\real-aave-0001.json,15,Aave,1,success,success,simulated_trace,5,success,8,LOW,,0.002,outputs\traces\real-aave-0001-trace.json,outputs\risk_actions\real-aave-0001-risk-actions.json,outputs\semantics\real-aave-0001-semantics.json,outputs\scores\real-aave-0001-score.json
2,real-aave-0002,data\raw_samples\real-aave-0002.json,7,Aave,1,success,reverted_with_trace,simulated_trace,1,success,6,MEDIUM,,0.001,outputs\traces\real-aave-0002-trace.json,outputs\risk_actions\real-aave-0002-risk-actions.json,outputs\semantics\real-aave-0002-semantics.json,outputs\scores\real-aave-0002-score.json
3,real-aave-0003,data\raw_samples\real-aave-0003.json,42,Aave,1,success,reverted_with_trace,simulated_trace,3,success,6,MEDIUM,,0.001,outputs\traces\real-aave-0003-trace.json,outputs\risk_actions\real-aave-0003-risk-actions.json,outputs\semantics\real-aave-0003-semantics.json,outputs\scores\real-aave-0003-score.json
4,real-aave-0004,data\raw_samples\real-aave-0004.json,100,Aave,1,success,success,simulated_trace,2,success,2,CRITICAL,,0.001,outputs\traces\real-aave-0004-trace.json,outputs\risk_actions\real-aave-0004-risk-actions.json,outputs\semantics\real-aave-0004-semantics.json,outputs\scores\real-aave-0004-score.json
5,real-aave-0005,data\raw_samples\real-aave-0005.json,35,Aave,1,success,reverted_with_trace,simulated_trace,7,success,6,MEDIUM,,0.001,outputs\traces\real-aave-0005-trace.json,outputs\risk_actions\real-aave-0005-risk-actions.json,outputs\semantics\real-aave-0005-semantics.json,outputs\scores\real-aave-0005-score.json
6,real-aave-0006,data\raw_samples\real-aave-0006.json,32,Aave,1,success,reverted_with_trace,simulated_trace,4,success,8,LOW,,0.001,outputs\traces\real-aave-0006-trace.json,outputs\risk_actions\real-aave-0006-risk-actions.json,outputs\semantics\real-aave-0006-semantics.json,outputs\scores\real-aave-0006-score.json
7,real-aave-0007,data\raw_samples\real-aave-0007.json,152,Aave,1,success,reverted_with_trace,simulated_trace,7,success,6,MEDIUM,,0.001,outputs\traces\real-aave-0007-trace.json,outputs\risk_actions\real-aave-0007-risk-actions.json,outputs\semantics\real-aave-0007-semantics.json,outputs\scores\real-aave-0007-score.json
8,real-aave-0008,data\raw_samples\real-aave-0008.json,149,Aave,1,success,reverted_with_trace,simulated_trace,10,success,6,MEDIUM,,0.001,outputs\traces\real-aave-0008-trace.json,outputs\risk_actions\real-aave-0008-risk-actions.json,outputs\semantics\real-aave-0008-semantics.json,outputs\scores\real-aave-0008-score.json
9,real-aave-0009,data\raw_samples\real-aave-0009.json,234,Aave,1,success,reverted_with_trace,simulated_trace,16,success,2,CRITICAL,,0.003,outputs\traces\real-aave-0009-trace.json,outputs\risk_actions\real-aave-0009-risk-actions.json,outputs\semantics\real-aave-0009-semantics.json,outputs\scores\real-aave-0009-score.json
10,real-aave-0010,data\raw_samples\real-aave-0010.json,238,Aave,1,success,reverted_with_trace,simulated_trace,11,success,4,HIGH,,0.002,outputs\traces\real-aave-0010-trace.json,outputs\risk_actions\real-aave-0010-risk-actions.json,outputs\semantics\real-aave-0010-semantics.json,outputs\scores\real-aave-0010-score.json
11,real-aave-0011,data\raw_samples\real-aave-0011.json,164,Aave,1,success,success,simulated_trace,6,success,6,MEDIUM,,0.001,outputs\traces\real-aave-0011-trace.json,outputs\risk_actions\real-aave-0011-risk-actions.json,outputs\semantics\real-aave-0011-semantics.json,outputs\scores\real-aave-0011-score.json
12,real-aave-0012,data\raw_samples\real-aave-0012.json,178,Aave,1,success,success,simulated_trace,2,success,2,CRITICAL,,0.001,outputs\traces\real-aave-0012-trace.json,outputs\risk_actions\real-aave-0012-risk-actions.json,outputs\semantics\real-aave-0012-semantics.json,outputs\scores\real-aave-0012-score.json
13,real-aave-0013,data\raw_samples\real-aave-0013.json,397,Aave,1,success,reverted_with_trace,simulated_trace,2,success,6,MEDIUM,,0.001,outputs\traces\real-aave-0013-trace.json,outputs\risk_actions\real-aave-0013-risk-actions.json,outputs\semantics\real-aave-0013-semantics.json,outputs\scores\real-aave-0013-score.json
14,real-aave-0014,data\raw_samples\real-aave-0014.json,407,Aave,1,success,reverted_with_trace,simulated_trace,2,success,6,MEDIUM,,0.001,outputs\traces\real-aave-0014-trace.json,outputs\risk_actions\real-aave-0014-risk-actions.json,outputs\semantics\real-aave-0014-semantics.json,outputs\scores\real-aave-0014-score.json
15,real-aave-0015,data\raw_samples\real-aave-0015.json,355,Aave,1,success,reverted_with_trace,simulated_trace,25,success,2,CRITICAL,,0.003,outputs\traces\real-aave-0015-trace.json,outputs\risk_actions\real-aave-0015-risk-actions.json,outputs\semantics\real-aave-0015-semantics.json,outputs\scores\real-aave-0015-score.json
16,real-aave-0016,data\raw_samples\real-aave-0016.json,310,Aave,1,success,reverted_with_trace,simulated_trace,15,success,6,MEDIUM,,0.002,outputs\traces\real-aave-0016-trace.json,outputs\risk_actions\real-aave-0016-risk-actions.json,outputs\semantics\real-aave-0016-semantics.json,outputs\scores\real-aave-0016-score.json
17,real-aave-0017,data\raw_samples\real-aave-0017.json,396,Aave,1,success,reverted_with_trace,simulated_trace,2,success,6,MEDIUM,,0.001,outputs\traces\real-aave-0017-trace.json,outputs\risk_actions\real-aave-0017-risk-actions.json,outputs\semantics\real-aave-0017-semantics.json,outputs\scores\real-aave-0017-score.json
18,real-aave-0018,data\raw_samples\real-aave-0018.json,400,Aave,1,success,reverted_with_trace,simulated_trace,2,success,6,MEDIUM,,0.001,outputs\traces\real-aave-0018-trace.json,outputs\risk_actions\real-aave-0018-risk-actions.json,outputs\semantics\real-aave-0018-semantics.json,outputs\scores\real-aave-0018-score.json
19,real-aave-0019,data\raw_samples\real-aave-0019.json,390,Aave,1,success,reverted_with_trace,simulated_trace,2,success,6,MEDIUM,,0.001,outputs\traces\real-aave-0019-trace.json,outputs\risk_actions\real-aave-0019-risk-actions.json,outputs\semantics\real-aave-0019-semantics.json,outputs\scores\real-aave-0019-score.json
20,real-aave-0020,data\raw_samples\real-aave-0020.json,321,Aave,1,success,reverted_with_trace,simulated_trace,15,success,2,CRITICAL,,0.003,outputs\traces\real-aave-0020-trace.json,outputs\risk_actions\real-aave-0020-risk-actions.json,outputs\semantics\real-aave-0020-semantics.json,outputs\scores\real-aave-0020-score.json
