index,benchmark_id,sample_path,proposal_id,dao,status,llm_status,error,elapsed_seconds,semantics_output
1,real-aave-0001,data\raw_samples\real-aave-0001.json,15,Aave,skipped,success,,0.0,outputs\semantics\real-aave-0001-semantics.json
2,real-aave-0002,data\raw_samples\real-aave-0002.json,7,Aave,skipped,success,,0.0,outputs\semantics\real-aave-0002-semantics.json
3,real-aave-0003,data\raw_samples\real-aave-0003.json,42,Aave,skipped,success,,0.0,outputs\semantics\real-aave-0003-semantics.json
4,real-aave-0004,data\raw_samples\real-aave-0004.json,100,Aave,skipped,success,,0.0,outputs\semantics\real-aave-0004-semantics.json
5,real-aave-0005,data\raw_samples\real-aave-0005.json,35,Aave,skipped,success,,0.0,outputs\semantics\real-aave-0005-semantics.json
6,real-aave-0006,data\raw_samples\real-aave-0006.json,32,Aave,skipped,success,,0.0,outputs\semantics\real-aave-0006-semantics.json
7,real-aave-0007,data\raw_samples\real-aave-0007.json,152,Aave,skipped,success,,0.0,outputs\semantics\real-aave-0007-semantics.json
8,real-aave-0008,data\raw_samples\real-aave-0008.json,149,Aave,skipped,success,,0.0,outputs\semantics\real-aave-0008-semantics.json
9,real-aave-0009,data\raw_samples\real-aave-0009.json,234,Aave,skipped,success,,0.0,outputs\semantics\real-aave-0009-semantics.json
10,real-aave-0010,data\raw_samples\real-aave-0010.json,238,Aave,skipped,success,,0.0,outputs\semantics\real-aave-0010-semantics.json
11,real-aave-0011,data\raw_samples\real-aave-0011.json,164,Aave,skipped,success,,0.0,outputs\semantics\real-aave-0011-semantics.json
12,real-aave-0012,data\raw_samples\real-aave-0012.json,178,Aave,skipped,success,,0.0,outputs\semantics\real-aave-0012-semantics.json
13,real-aave-0013,data\raw_samples\real-aave-0013.json,397,Aave,skipped,success,,0.0,outputs\semantics\real-aave-0013-semantics.json
14,real-aave-0014,data\raw_samples\real-aave-0014.json,407,Aave,skipped,success,,0.0,outputs\semantics\real-aave-0014-semantics.json
15,real-aave-0015,data\raw_samples\real-aave-0015.json,355,Aave,skipped,success,,0.0,outputs\semantics\real-aave-0015-semantics.json
16,real-aave-0016,data\raw_samples\real-aave-0016.json,310,Aave,skipped,success,,0.0,outputs\semantics\real-aave-0016-semantics.json
17,real-aave-0017,data\raw_samples\real-aave-0017.json,396,Aave,skipped,success,,0.0,outputs\semantics\real-aave-0017-semantics.json
18,real-aave-0018,data\raw_samples\real-aave-0018.json,400,Aave,skipped,success,,0.0,outputs\semantics\real-aave-0018-semantics.json
19,real-aave-0019,data\raw_samples\real-aave-0019.json,390,Aave,skipped,success,,0.0,outputs\semantics\real-aave-0019-semantics.json
20,real-aave-0020,data\raw_samples\real-aave-0020.json,321,Aave,skipped,success,,0.0,outputs\semantics\real-aave-0020-semantics.json
21,real-arbitrum-0001,data\raw_samples\real-arbitrum-0001.json,71941171835710778457735937894689629320431683601089057868136768380925169329077,Arbitrum,skipped,success,,0.0,outputs\semantics\real-arbitrum-0001-semantics.json
22,real-arbitrum-0002,data\raw_samples\real-arbitrum-0002.json,70545629960586317780628692755032548222173912190231545322320044688071893662480,Arbitrum,skipped,success,,0.0,outputs\semantics\real-arbitrum-0002-semantics.json
23,real-arbitrum-0003,data\raw_samples\real-arbitrum-0003.json,4339452689891418965907083940091891085726910948106830138993485564953310970308,Arbitrum,skipped,success,,0.0,outputs\semantics\real-arbitrum-0003-semantics.json
24,real-arbitrum-0004,data\raw_samples\real-arbitrum-0004.json,77069694702187027448745871790562515795432836429094222862498991082283032976814,Arbitrum,skipped,success,,0.0,outputs\semantics\real-arbitrum-0004-semantics.json
25,real-arbitrum-0005,data\raw_samples\real-arbitrum-0005.json,55434268037459750836497365958054185343730937462615166912204494229415053613423,Arbitrum,skipped,success,,0.0,outputs\semantics\real-arbitrum-0005-semantics.json
26,real-arbitrum-0006,data\raw_samples\real-arbitrum-0006.json,6269372711941757139042689495856382466058496535755800373140231592090274906424,Arbitrum,skipped,success,,0.0,outputs\semantics\real-arbitrum-0006-semantics.json
27,real-arbitrum-0007,data\raw_samples\real-arbitrum-0007.json,38701323908152171422214887490453506732497504710759730413296983575898180294585,Arbitrum,skipped,success,,0.0,outputs\semantics\real-arbitrum-0007-semantics.json
28,real-arbitrum-0008,data\raw_samples\real-arbitrum-0008.json,98446466630612736687159241204141593794174501692677162686607521796118942563659,Arbitrum,skipped,repaired,,0.0,outputs\semantics\real-arbitrum-0008-semantics.json
29,real-arbitrum-0009,data\raw_samples\real-arbitrum-0009.json,7516302970844612385418101444853135774524286064427379173725195909617827683975,Arbitrum,skipped,success,,0.0,outputs\semantics\real-arbitrum-0009-semantics.json
30,real-arbitrum-0010,data\raw_samples\real-arbitrum-0010.json,79529399410531589353911088395953830829384332193617716676855043534419270111970,Arbitrum,skipped,repaired,,0.0,outputs\semantics\real-arbitrum-0010-semantics.json
31,real-arbitrum-0011,data\raw_samples\real-arbitrum-0011.json,3552942192106351362095426680857341385146921274641698065112264407057470303359,Arbitrum,skipped,success,,0.0,outputs\semantics\real-arbitrum-0011-semantics.json
32,real-arbitrum-0012,data\raw_samples\real-arbitrum-0012.json,112325874093084064493910714319140234408317576120604499542718372361020687891105,Arbitrum,skipped,repaired,,0.0,outputs\semantics\real-arbitrum-0012-semantics.json
33,real-arbitrum-0013,data\raw_samples\real-arbitrum-0013.json,108658450973990931334575713480652794742647878863726354508911679874665321261959,Arbitrum,skipped,success,,0.0,outputs\semantics\real-arbitrum-0013-semantics.json
34,real-arbitrum-0014,data\raw_samples\real-arbitrum-0014.json,111105159609719390908725919603971316574753860587890014819515615630412225940809,Arbitrum,skipped,success,,0.0,outputs\semantics\real-arbitrum-0014-semantics.json
35,real-arbitrum-0015,data\raw_samples\real-arbitrum-0015.json,71020107401388505040510993373598301285550678565865201408741893567942851985019,Arbitrum,skipped,success,,0.0,outputs\semantics\real-arbitrum-0015-semantics.json
36,real-arbitrum-0016,data\raw_samples\real-arbitrum-0016.json,13050485773425645466153415888358064378805606653363056526521393182333458879398,Arbitrum,skipped,success,,0.0,outputs\semantics\real-arbitrum-0016-semantics.json
37,real-arbitrum-0017,data\raw_samples\real-arbitrum-0017.json,13108804573775967668959825241666341617107666532012387058509418598838035461528,Arbitrum,success,success,,6.84,outputs\semantics\real-arbitrum-0017-semantics.json
38,real-arbitrum-0018,data\raw_samples\real-arbitrum-0018.json,27831845498978337986467036886891836384283300266814708262424272663046958396151,Arbitrum,skipped,success,,0.0,outputs\semantics\real-arbitrum-0018-semantics.json
39,real-arbitrum-0019,data\raw_samples\real-arbitrum-0019.json,16288348195459185256236376597446433097934740027053618232242382845767010422421,Arbitrum,skipped,success,,0.0,outputs\semantics\real-arbitrum-0019-semantics.json
40,real-arbitrum-0020,data\raw_samples\real-arbitrum-0020.json,41764616447638715300612914863093416410063619332654034338488569044333128121381,Arbitrum,skipped,success,,0.0,outputs\semantics\real-arbitrum-0020-semantics.json
41,real-compound-0001,data\raw_samples\real-compound-0001.json,51,Compound,skipped,success,,0.0,outputs\semantics\real-compound-0001-semantics.json
42,real-compound-0002,data\raw_samples\real-compound-0002.json,188,Compound,skipped,success,,0.0,outputs\semantics\real-compound-0002-semantics.json
43,real-compound-0003,data\raw_samples\real-compound-0003.json,176,Compound,skipped,success,,0.0,outputs\semantics\real-compound-0003-semantics.json
44,real-compound-0004,data\raw_samples\real-compound-0004.json,119,Compound,skipped,success,,0.0,outputs\semantics\real-compound-0004-semantics.json
45,real-compound-0005,data\raw_samples\real-compound-0005.json,134,Compound,skipped,success,,0.0,outputs\semantics\real-compound-0005-semantics.json
46,real-compound-0006,data\raw_samples\real-compound-0006.json,175,Compound,skipped,success,,0.0,outputs\semantics\real-compound-0006-semantics.json
47,real-compound-0007,data\raw_samples\real-compound-0007.json,255,Compound,success,success,,13.827,outputs\semantics\real-compound-0007-semantics.json
48,real-compound-0008,data\raw_samples\real-compound-0008.json,238,Compound,success,repaired,,88.526,outputs\semantics\real-compound-0008-semantics.json
