index,score_input,report_output,proposal_id,status,overall_score,risk_level,error,elapsed_seconds
1,outputs\mutant_detection\scores\mutant-permission-0001-score.json,outputs\mutant_detection\reports\mutant-permission-0001-score.md,mutant-permission-0001,success,2,CRITICAL,,0.001
2,outputs\mutant_detection\scores\mutant-permission-0002-score.json,outputs\mutant_detection\reports\mutant-permission-0002-score.md,mutant-permission-0002,success,2,CRITICAL,,0.001
3,outputs\mutant_detection\scores\mutant-permission-0003-score.json,outputs\mutant_detection\reports\mutant-permission-0003-score.md,mutant-permission-0003,success,2,CRITICAL,,0.001
4,outputs\mutant_detection\scores\mutant-permission-0004-score.json,outputs\mutant_detection\reports\mutant-permission-0004-score.md,mutant-permission-0004,success,2,CRITICAL,,0.001
5,outputs\mutant_detection\scores\mutant-permission-0005-score.json,outputs\mutant_detection\reports\mutant-permission-0005-score.md,mutant-permission-0005,success,2,CRITICAL,,0.001
6,outputs\mutant_detection\scores\mutant-permission-0006-score.json,outputs\mutant_detection\reports\mutant-permission-0006-score.md,mutant-permission-0006,success,2,CRITICAL,,0.001
7,outputs\mutant_detection\scores\mutant-permission-0007-score.json,outputs\mutant_detection\reports\mutant-permission-0007-score.md,mutant-permission-0007,success,2,CRITICAL,,0.001
8,outputs\mutant_detection\scores\mutant-permission-0008-score.json,outputs\mutant_detection\reports\mutant-permission-0008-score.md,mutant-permission-0008,success,2,CRITICAL,,0.001
9,outputs\mutant_detection\scores\mutant-transfer-0001-score.json,outputs\mutant_detection\reports\mutant-transfer-0001-score.md,mutant-transfer-0001,success,4,HIGH,,0.001
10,outputs\mutant_detection\scores\mutant-transfer-0002-score.json,outputs\mutant_detection\reports\mutant-transfer-0002-score.md,mutant-transfer-0002,success,4,HIGH,,0.001
11,outputs\mutant_detection\scores\mutant-transfer-0003-score.json,outputs\mutant_detection\reports\mutant-transfer-0003-score.md,mutant-transfer-0003,success,4,HIGH,,0.001
12,outputs\mutant_detection\scores\mutant-transfer-0004-score.json,outputs\mutant_detection\reports\mutant-transfer-0004-score.md,mutant-transfer-0004,success,4,HIGH,,0.001
13,outputs\mutant_detection\scores\mutant-transfer-0005-score.json,outputs\mutant_detection\reports\mutant-transfer-0005-score.md,mutant-transfer-0005,success,4,HIGH,,0.001
14,outputs\mutant_detection\scores\mutant-transfer-0006-score.json,outputs\mutant_detection\reports\mutant-transfer-0006-score.md,mutant-transfer-0006,success,4,HIGH,,0.001
15,outputs\mutant_detection\scores\mutant-transfer-0007-score.json,outputs\mutant_detection\reports\mutant-transfer-0007-score.md,mutant-transfer-0007,success,4,HIGH,,0.001
16,outputs\mutant_detection\scores\mutant-transfer-0008-score.json,outputs\mutant_detection\reports\mutant-transfer-0008-score.md,mutant-transfer-0008,success,4,HIGH,,0.001
17,outputs\mutant_detection\scores\mutant-upgrade-0001-score.json,outputs\mutant_detection\reports\mutant-upgrade-0001-score.md,mutant-upgrade-0001,success,2,CRITICAL,,0.001
18,outputs\mutant_detection\scores\mutant-upgrade-0002-score.json,outputs\mutant_detection\reports\mutant-upgrade-0002-score.md,mutant-upgrade-0002,success,2,CRITICAL,,0.001
19,outputs\mutant_detection\scores\mutant-upgrade-0003-score.json,outputs\mutant_detection\reports\mutant-upgrade-0003-score.md,mutant-upgrade-0003,success,2,CRITICAL,,0.001
20,outputs\mutant_detection\scores\mutant-upgrade-0004-score.json,outputs\mutant_detection\reports\mutant-upgrade-0004-score.md,mutant-upgrade-0004,success,2,CRITICAL,,0.001
21,outputs\mutant_detection\scores\mutant-upgrade-0005-score.json,outputs\mutant_detection\reports\mutant-upgrade-0005-score.md,mutant-upgrade-0005,success,2,CRITICAL,,0.001
22,outputs\mutant_detection\scores\mutant-upgrade-0006-score.json,outputs\mutant_detection\reports\mutant-upgrade-0006-score.md,mutant-upgrade-0006,success,2,CRITICAL,,0.001
23,outputs\mutant_detection\scores\mutant-upgrade-0007-score.json,outputs\mutant_detection\reports\mutant-upgrade-0007-score.md,mutant-upgrade-0007,success,2,CRITICAL,,0.001
24,outputs\mutant_detection\scores\mutant-upgrade-0008-score.json,outputs\mutant_detection\reports\mutant-upgrade-0008-score.md,mutant-upgrade-0008,success,2,CRITICAL,,0.001
