index,benchmark_id,sample_path,proposal_id,dao,chain_id,simulation_status,trace_source,call_count,max_depth,delegatecall_count,risk_action_count,raw_detected_count,filtered_count,deduplicated_count,risk_action_types,error,elapsed_seconds,trace_output,risk_actions_output
1,real-aave-0001,data\raw_samples\real-aave-0001.json,15,Aave,1,success,simulated_trace,10,4,4,5,10,0,5,approval:3;delegatecall:2,,16.929,outputs\traces\real-aave-0001-trace.json,outputs\risk_actions\real-aave-0001-risk-actions.json
2,real-aave-0002,data\raw_samples\real-aave-0002.json,7,Aave,1,reverted_with_trace,simulated_trace,2,1,0,1,2,1,0,unknown:1,,6.754,outputs\traces\real-aave-0002-trace.json,outputs\risk_actions\real-aave-0002-risk-actions.json
3,real-aave-0003,data\raw_samples\real-aave-0003.json,42,Aave,1,reverted_with_trace,simulated_trace,24,2,8,3,24,0,21,delegatecall:1;unknown:2,,13.145,outputs\traces\real-aave-0003-trace.json,outputs\risk_actions\real-aave-0003-risk-actions.json
4,real-aave-0004,data\raw_samples\real-aave-0004.json,100,Aave,1,success,simulated_trace,3,2,0,2,3,1,0,bridge:1;unknown:1,,14.033,outputs\traces\real-aave-0004-trace.json,outputs\risk_actions\real-aave-0004-risk-actions.json
5,real-aave-0005,data\raw_samples\real-aave-0005.json,35,Aave,1,reverted_with_trace,simulated_trace,8,3,1,7,8,1,0,delegatecall:1;unknown:6,,10.354,outputs\traces\real-aave-0005-trace.json,outputs\risk_actions\real-aave-0005-risk-actions.json
6,real-aave-0006,data\raw_samples\real-aave-0006.json,32,Aave,1,reverted_with_trace,simulated_trace,5,3,1,4,5,1,0,delegatecall:1;unknown:3,,6.799,outputs\traces\real-aave-0006-trace.json,outputs\risk_actions\real-aave-0006-risk-actions.json
7,real-aave-0007,data\raw_samples\real-aave-0007.json,152,Aave,1,reverted_with_trace,simulated_trace,8,3,1,7,8,1,0,delegatecall:1;unknown:6,,8.54,outputs\traces\real-aave-0007-trace.json,outputs\risk_actions\real-aave-0007-risk-actions.json
8,real-aave-0008,data\raw_samples\real-aave-0008.json,149,Aave,1,reverted_with_trace,simulated_trace,11,4,1,10,11,1,0,delegatecall:1;unknown:9,,12.347,outputs\traces\real-aave-0008-trace.json,outputs\risk_actions\real-aave-0008-risk-actions.json
9,real-aave-0009,data\raw_samples\real-aave-0009.json,234,Aave,1,reverted_with_trace,simulated_trace,23,3,3,16,23,5,2,bridge:1;delegatecall:3;transfer:1;unknown:11,,24.003,outputs\traces\real-aave-0009-trace.json,outputs\risk_actions\real-aave-0009-risk-actions.json
10,real-aave-0010,data\raw_samples\real-aave-0010.json,238,Aave,1,reverted_with_trace,simulated_trace,13,6,4,11,13,2,0,delegatecall:4;transfer:1;unknown:6,,11.497,outputs\traces\real-aave-0010-trace.json,outputs\risk_actions\real-aave-0010-risk-actions.json
11,real-aave-0011,data\raw_samples\real-aave-0011.json,164,Aave,1,success,simulated_trace,8,3,1,6,8,1,1,delegatecall:1;unknown:5,,9.53,outputs\traces\real-aave-0011-trace.json,outputs\risk_actions\real-aave-0011-risk-actions.json
12,real-aave-0012,data\raw_samples\real-aave-0012.json,178,Aave,1,success,simulated_trace,3,2,0,2,3,1,0,bridge:1;unknown:1,,11.345,outputs\traces\real-aave-0012-trace.json,outputs\risk_actions\real-aave-0012-risk-actions.json
13,real-aave-0013,data\raw_samples\real-aave-0013.json,397,Aave,1,reverted_with_trace,simulated_trace,2,1,1,2,2,0,0,delegatecall:1;unknown:1,,9.391,outputs\traces\real-aave-0013-trace.json,outputs\risk_actions\real-aave-0013-risk-actions.json
14,real-aave-0014,data\raw_samples\real-aave-0014.json,407,Aave,1,reverted_with_trace,simulated_trace,2,1,1,2,2,0,0,delegatecall:1;unknown:1,,15.788,outputs\traces\real-aave-0014-trace.json,outputs\risk_actions\real-aave-0014-risk-actions.json
15,real-aave-0015,data\raw_samples\real-aave-0015.json,355,Aave,1,reverted_with_trace,simulated_trace,32,6,8,25,32,6,1,bridge:1;delegatecall:8;transfer:1;unknown:15,,25.426,outputs\traces\real-aave-0015-trace.json,outputs\risk_actions\real-aave-0015-risk-actions.json
16,real-aave-0016,data\raw_samples\real-aave-0016.json,310,Aave,1,reverted_with_trace,simulated_trace,19,6,5,15,19,4,0,bridge:1;delegatecall:5;transfer:1;unknown:8,,18.623,outputs\traces\real-aave-0016-trace.json,outputs\risk_actions\real-aave-0016-risk-actions.json
17,real-aave-0017,data\raw_samples\real-aave-0017.json,396,Aave,1,reverted_with_trace,simulated_trace,2,1,1,2,2,0,0,delegatecall:1;unknown:1,,10.508,outputs\traces\real-aave-0017-trace.json,outputs\risk_actions\real-aave-0017-risk-actions.json
18,real-aave-0018,data\raw_samples\real-aave-0018.json,400,Aave,1,reverted_with_trace,simulated_trace,4,1,2,2,4,0,2,delegatecall:1;unknown:1,,10.987,outputs\traces\real-aave-0018-trace.json,outputs\risk_actions\real-aave-0018-risk-actions.json
19,real-aave-0019,data\raw_samples\real-aave-0019.json,390,Aave,1,reverted_with_trace,simulated_trace,2,1,1,2,2,0,0,delegatecall:1;unknown:1,,8.871,outputs\traces\real-aave-0019-trace.json,outputs\risk_actions\real-aave-0019-risk-actions.json
20,real-aave-0020,data\raw_samples\real-aave-0020.json,321,Aave,1,reverted_with_trace,simulated_trace,20,6,6,15,20,3,2,bridge:1;delegatecall:5;transfer:1;unknown:8,,16.173,outputs\traces\real-aave-0020-trace.json,outputs\risk_actions\real-aave-0020-risk-actions.json
21,real-arbitrum-0001,data\raw_samples\real-arbitrum-0001.json,71941171835710778457735937894689629320431683601089057868136768380925169329077,Arbitrum,42161,success,simulated_trace,1,0,0,0,0,0,0,,,8.995,outputs\traces\real-arbitrum-0001-trace.json,outputs\risk_actions\real-arbitrum-0001-risk-actions.json
22,real-arbitrum-0002,data\raw_samples\real-arbitrum-0002.json,70545629960586317780628692755032548222173912190231545322320044688071893662480,Arbitrum,42161,success,simulated_trace,1,0,0,0,0,0,0,,,9.687,outputs\traces\real-arbitrum-0002-trace.json,outputs\risk_actions\real-arbitrum-0002-risk-actions.json
23,real-arbitrum-0003,data\raw_samples\real-arbitrum-0003.json,4339452689891418965907083940091891085726910948106830138993485564953310970308,Arbitrum,42161,success,simulated_trace,4,3,2,4,4,0,0,delegatecall:2;transfer:1;unknown:1,,15.25,outputs\traces\real-arbitrum-0003-trace.json,outputs\risk_actions\real-arbitrum-0003-risk-actions.json
