index,score_input,report_output,proposal_id,status,overall_score,risk_level,error,elapsed_seconds
1,outputs\scores\real-aave-0001-score.json,outputs\reports\real-aave-0001-score.md,15,success,8,LOW,,0.001
2,outputs\scores\real-aave-0002-score.json,outputs\reports\real-aave-0002-score.md,7,success,6,MEDIUM,,0.001
3,outputs\scores\real-aave-0003-score.json,outputs\reports\real-aave-0003-score.md,42,success,6,MEDIUM,,0.001
4,outputs\scores\real-aave-0004-score.json,outputs\reports\real-aave-0004-score.md,100,success,2,CRITICAL,,0.001
5,outputs\scores\real-aave-0005-score.json,outputs\reports\real-aave-0005-score.md,35,success,6,MEDIUM,,0.001
6,outputs\scores\real-aave-0006-score.json,outputs\reports\real-aave-0006-score.md,32,success,8,LOW,,0.001
7,outputs\scores\real-aave-0007-score.json,outputs\reports\real-aave-0007-score.md,152,success,6,MEDIUM,,0.001
8,outputs\scores\real-aave-0008-score.json,outputs\reports\real-aave-0008-score.md,149,success,6,MEDIUM,,0.001
9,outputs\scores\real-aave-0009-score.json,outputs\reports\real-aave-0009-score.md,234,success,2,CRITICAL,,0.001
10,outputs\scores\real-aave-0010-score.json,outputs\reports\real-aave-0010-score.md,238,success,4,HIGH,,0.001
11,outputs\scores\real-aave-0011-score.json,outputs\reports\real-aave-0011-score.md,164,success,6,MEDIUM,,0.001
12,outputs\scores\real-aave-0012-score.json,outputs\reports\real-aave-0012-score.md,178,success,2,CRITICAL,,0.001
13,outputs\scores\real-aave-0013-score.json,outputs\reports\real-aave-0013-score.md,397,success,6,MEDIUM,,0.001
14,outputs\scores\real-aave-0014-score.json,outputs\reports\real-aave-0014-score.md,407,success,6,MEDIUM,,0.001
15,outputs\scores\real-aave-0015-score.json,outputs\reports\real-aave-0015-score.md,355,success,2,CRITICAL,,0.001
16,outputs\scores\real-aave-0016-score.json,outputs\reports\real-aave-0016-score.md,310,success,6,MEDIUM,,0.001
17,outputs\scores\real-aave-0017-score.json,outputs\reports\real-aave-0017-score.md,396,success,6,MEDIUM,,0.001
18,outputs\scores\real-aave-0018-score.json,outputs\reports\real-aave-0018-score.md,400,success,6,MEDIUM,,0.001
19,outputs\scores\real-aave-0019-score.json,outputs\reports\real-aave-0019-score.md,390,success,6,MEDIUM,,0.001
20,outputs\scores\real-aave-0020-score.json,outputs\reports\real-aave-0020-score.md,321,success,2,CRITICAL,,0.001
21,outputs\scores\real-arbitrum-0001-score.json,outputs\reports\real-arbitrum-0001-score.md,71941171835710778457735937894689629320431683601089057868136768380925169329077,success,8,LOW,,0.001
22,outputs\scores\real-arbitrum-0002-score.json,outputs\reports\real-arbitrum-0002-score.md,70545629960586317780628692755032548222173912190231545322320044688071893662480,success,8,LOW,,0.001
23,outputs\scores\real-arbitrum-0003-score.json,outputs\reports\real-arbitrum-0003-score.md,4339452689891418965907083940091891085726910948106830138993485564953310970308,success,8,LOW,,0.001
24,outputs\scores\real-arbitrum-0004-score.json,outputs\reports\real-arbitrum-0004-score.md,77069694702187027448745871790562515795432836429094222862498991082283032976814,success,8,LOW,,0.001
25,outputs\scores\real-arbitrum-0005-score.json,outputs\reports\real-arbitrum-0005-score.md,55434268037459750836497365958054185343730937462615166912204494229415053613423,success,8,LOW,,0.001
26,outputs\scores\real-arbitrum-0006-score.json,outputs\reports\real-arbitrum-0006-score.md,6269372711941757139042689495856382466058496535755800373140231592090274906424,success,8,LOW,,0.001
